word,score
"fast",1.266513590393583
"performance",1.191905137291964
"also",0.7735709009272048
"well",0.7373901573216238
"much",0.558238514831823
"use",0.5092692148529745
"could",0.4661676951752084
"other",0.44095481000770664
"very",0.4036431864382071
"streaming",0.39576287511531844
"api",0.37727609380946386
"small",0.3537916910201618
"enough",0.3270410702247568
"more",0.3261935314328648
"most",0.3198928067394325
"powerful",0.3198928067394325
"instead",0.3133669534652102
"support",0.29995710498611566
"slow",0.2984992757715429
"performant",0.2984992757715429
"as",0.2966311871166445
"library",0.2948834503483292
"need",0.27919316850829123
"efficient",0.2782260203661347
"extremely",0.2782260203661347
"late",0.2638419167435457
"advantage",0.2638419167435457
"improve",0.2638419167435457
"lightweight",0.2526847391778351
"design",0.2526847391778351
"many",0.2526847391778351
"bit",0.23586112734677453
"tell",0.23586112734677453
"conversion",0.23586112734677453
"generic",0.23586112734677453
"model",0.22918455771554838
"generate",0.22918455771554838
"depend",0.22918455771554838
"version",0.22891610875099339
"easy",0.22891610875099339
"work",0.22691599021983128
"result",0.2232954059327292
"then",0.22306899314076498
"time",0.2180273801498379
"deserialization",0.2180273801498379
"feature",0.20891130231014016
"good",0.20891130231014016
"class",0.2068012845856213
"probably",0.20490916692646333
"serialization",0.20490916692646333
"possible",0.20490916692646333
"directly",0.20120376831877726
"case",0.19775412474442966
"runtime",0.19452719868755108
"can",0.19389311345428248
"note",0.19149596759672938
"asm",0.19149596759672938
"will",0.19019987332092836
"only",0.18093051291336903
"provide",0.17860451213162437
"know",0.17638192400308267
"cglib",0.1742539432821429
"jar",0.17025180789846606
"may",0.17025180789846606
"databinde",0.16657831739977008
"improvement",0.16657831739977008
"gzip",0.16657831739977008
"compression",0.16657831739977008
"bandwidth",0.16657831739977008
"interact",0.16657831739977008
"suffer",0.16657831739977008
"isolate",0.16657831739977008
"recommendable",0.16657831739977008
"effect",0.16657831739977008
"unpredictable",0.16657831739977008
"penalty",0.16657831739977008
"transforming",0.16657831739977008
"recent",0.16657831739977008
"benchmark",0.16657831739977008
"worried",0.16657831739977008
"originally",0.16657831739977008
"stability",0.16657831739977008
"benchmarke",0.16657831739977008
"painfully",0.16657831739977008
"after",0.16657831739977008
"editor",0.16657831739977008
"connector",0.16657831739977008
"automagic",0.16657831739977008
"databinding",0.16657831739977008
"stay",0.16657831739977008
"squeeze",0.16657831739977008
"moderately",0.16657831739977008
"capability",0.16657831739977008
"optimize",0.16657831739977008
"significantly",0.16657831739977008
"reflective",0.16657831739977008
"pointcut",0.16657831739977008
"fire",0.16657831739977008
"log4j",0.16657831739977008
"libs",0.16657831739977008
"dom",0.16657831739977008
"bring",0.16657831739977008
"scalability",0.16657831739977008
"arrive",0.16657831739977008
"try",0.16654640929077996
"would",0.16479184330021646
"way",0.16145727457528286
"should",0.15986983965955384
"parse",0.1568386085687321
"http://code.google.com/p/genson/wiki/metrics",0.14924963788577145
"conditional",0.14924963788577145
"child",0.14924963788577145
"magic",0.14924963788577145
"choice",0.14924963788577145
"transaction",0.14924963788577145
"last",0.14924963788577145
"stream",0.14924963788577145
"else",0.14924963788577145
"opinion",0.14924963788577145
"tiny",0.14924963788577145
"avoid",0.14924963788577145
"speed",0.14924963788577145
"certain",0.14924963788577145
"aspectj",0.14924963788577145
"aspect",0.14924963788577145
"large",0.14924963788577145
"complex",0.14924963788577145
"add",0.1439471531036271
"method",0.14172456497508543
"appear",0.13911301018306735
"offer",0.13911301018306735
"search",0.13911301018306735
"quality",0.13911301018306735
"heavyweight",0.13911301018306735
"developer",0.13911301018306735
"hsqldb",0.13911301018306735
"safe",0.13911301018306735
"big",0.13911301018306735
"all",0.13911301018306735
"switch",0.13911301018306735
"loading",0.13911301018306735
"situation",0.13911301018306735
"javaassit",0.13911301018306735
"cglib(actually",0.13911301018306735
"bcel",0.13911301018306735
"httpclient",0.13656535316332388
"tree",0.13192095837177284
"close",0.13192095837177284
"save",0.13192095837177284
"compile",0.13192095837177284
"high",0.13192095837177284
"say",0.13192095837177284
"parameter",0.13192095837177284
"http",0.13192095837177284
"old",0.13192095837177284
"compare",0.13192095837177284
"complicated",0.13192095837177284
"prove",0.13192095837177284
"java",0.13192095837177284
"least",0.13192095837177284
"collection",0.13192095837177284
"nice",0.13192095837177284
"application",0.13192095837177284
"alternatively",0.12634236958891756
"alternative",0.12634236958891756
"first",0.12634236958891756
"next",0.12634236958891756
"too",0.12634236958891756
"order",0.12634236958891756
"android",0.12634236958891756
"input",0.12634236958891756
"robust",0.12178433066906871
"really",0.12178433066906871
"base",0.12178433066906871
"nest",0.12178433066906871
"exist",0.12178433066906871
"modify",0.12178433066906871
"app",0.12178433066906871
"still",0.12178433066906871
"output",0.12178433066906871
"web",0.12178433066906871
"configure",0.11793056367338726
"similar",0.11793056367338726
"tool",0.11793056367338726
"show",0.11793056367338726
"one",0.11793056367338726
"json",0.11793056367338726
"little",0.11793056367338726
"require",0.11793056367338726
"think",0.11793056367338726
"object",0.11532119346506059
"lot",0.11459227885777419
"different",0.11459227885777419
"extend",0.11459227885777419
"even",0.11459227885777419
"great",0.11459227885777419
"additional",0.11459227885777419
"access",0.11459227885777419
"log",0.11459227885777419
"bean",0.1116477029663646
"dependency",0.1116477029663646
"already",0.1116477029663646
"'d",0.1116477029663646
"classpath",0.10901369007491896
"test",0.10901369007491896
"sure",0.10901369007491896
"recommend",0.10901369007491896
"byte",0.10445565115507008
"where",0.10445565115507008
"actually",0.10245458346323166
"interface",0.10060188415938863
"follow",0.10060188415938863
"build",0.10060188415938863
"issue",0.09887706237221483
"database",0.09887706237221483
"package",0.09887706237221483
"implement",0.09726359934377554
"property",0.09726359934377554
"include",0.09574798379836469
"quite",0.09431902345236597
"handle",0.09431902345236597
"javassist",0.09296734292060907
"find",0.09168501056092031
"see",0.09046525645668452
"read",0.08930225606581219
"so",0.08819096200154133
"how",0.08712697164107144
"new",0.08712697164107144
"when",0.08712697164107144
"custom",0.08512590394923303
"serialize",0.08327320464538998
"want",0.07841930428436605
"file",0.07841930428436605
"look",0.07498927624652892
"example",0.07254831450743102
"create",0.06421970334421756
"code",0.06146100191499593
